지하철역,환승가능여부,출근시간대 승차,출근시간대 하차,퇴근시간대 승차,퇴근시간대 하차,유임이용객,무임이용객,유임이용객 비율,무임이용객 비율
상봉(시외버스터미널),Y,213089.96666666667,88941.21666666667,118238.08333333334,197362.94999999998,1099115.9511299436,202388.89915254235,0.844,0.156
길음,N,231541.5,77905.75,101589.61666666665,189160.8,1039652.3333333334,229411.15,0.819,0.181
학동,N,32205.88333333333,360701.5333333333,287976.81666666665,56062.73333333333,1146247.25,108442.2,0.914,0.086
서초,N,64395.183333333334,265256.9666666667,221181.09999999998,76614.78333333333,1084521.0666666667,154623.01666666666,0.875,0.125
신설동,Y,83474.43461538461,185363.11923076923,183093.5987179487,97360.90384615384,855683.3474358974,325024.2576923077,0.725,0.275
청담,N,41856.433333333334,314077.06666666665,227509.2333333333,64166.88333333333,1031620.2333333333,133631.38333333333,0.885,0.115
구로,N,107772.06666666667,162798.4166666667,154125.01666666666,123727.88333333333,973226.3166666667,173190.75,0.849,0.151
구파발,N,210686.36666666664,73784.63333333333,91440.5,162258.13333333333,946455.2666666666,197827.25,0.827,0.173
가양,N,189950.05,88475.4,101614.71666666667,163144.1,911315.35,227056.51666666666,0.801,0.199
논현,N,41065.61666666667,261155.28333333333,208474.96666666667,89646.28333333333,1035276.7999999999,95508.13333333333,0.916,0.084
문래,N,114759.8,199409.63333333336,180249.53333333333,118628.53333333333,969681.8999999999,151140.18333333335,0.865,0.135
상계,N,226911.55,52917.16666666667,68523.58333333333,169595.1,892845.4333333333,217220.68333333335,0.804,0.196
동묘앞,Y,57087.166666666664,111028.76666666666,138393.0,79490.55,706139.9833333333,403351.63333333336,0.636,0.364
제기동,N,77317.0,103256.15,115426.3,76869.86666666667,506430.1666666666,598102.4333333333,0.459,0.541
방배,N,91551.93333333333,157417.3333333333,154915.28333333333,108368.19999999998,932854.1499999999,144556.23333333334,0.866,0.134
뚝섬,N,72815.61666666665,212341.1,198345.36666666664,97695.45000000001,958457.5666666667,115336.43333333332,0.893,0.107
하계,N,187106.9166666667,65373.48333333334,78808.33333333334,152757.73333333334,860028.5,190956.9,0.818,0.182
강동,N,183715.85,90114.56666666667,108194.84999999999,133021.51666666666,865684.5,180396.15000000002,0.828,0.172
홍제,N,182397.38333333333,61905.95,79714.65,154855.31666666668,773148.4833333334,269937.1,0.741,0.259
목동,N,173810.96666666667,67338.38333333333,79284.38333333333,185330.03333333333,883617.4833333333,158492.18333333335,0.848,0.152
장한평,N,150831.76666666666,121386.4,130373.43333333333,135121.8333333333,847168.2166666667,174097.26666666666,0.83,0.17
이대,N,62597.916666666664,105996.59999999998,132166.71666666665,100632.73333333334,896553.95,109385.3,0.891,0.109
응암,N,201838.8,41323.21666666666,62567.549999999996,172605.25,789813.0166666666,211054.2,0.789,0.211
